Saint-Gaudens|Double Eagle|1916|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1920|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1920|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1921|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1922|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1922|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1923|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1923|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1924|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1924|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1924|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1925|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1925|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1925|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1926|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1926|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1926|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1927|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1927|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1927|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1928|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1929|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1930|San Francisco|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1931|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1931|Denver|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1932|Philadelphia|Arabic Numerals, No Motto||33.44000
Saint-Gaudens|Double Eagle|1933|Philadelphia|Arabic Numerals, No Motto||33.44000
Capped Bust To Right|Eagle|1795|Philadelphia|Small Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1796|Philadelphia|Small Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1797|Philadelphia|Small Eagle Reverse|Small Eagle|17.50000
Capped Bust To Right|Eagle|1797|Philadelphia|Heraldic Eagle Reverse|Large Eagle|17.50000
Capped Bust To Right|Eagle|1798|Philadelphia|Heraldic Eagle Reverse|8 Over 7 - 9 Stars Left - 4 Rt|17.50000
Capped Bust To Right|Eagle|1798|Philadelphia|Heraldic Eagle Reverse|8 Over 7 - 7 Stars Left - 6 Rt|17.50000
