coin	denomination	year	mint	yearGrouping	mintGrouping	fileName	caption
Peace	Silver and Related Dollar	1922	Philadelphia			thumbnails/UsOurCoin/1922|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||32.37||ebay|2012-07-28||/2-reverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/1-obverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/2-reverse.jpeg	
Peace	Silver and Related Dollar	1922	San Francisco			thumbnails/UsOurCoin/1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||/3-reverse-zoom.jpeg	
Liberty Seated	Half Dollar	1843	Philadelphia	Variety 1 - No Motto Above Eagle		thumbnails/UsOurCoin/1843|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|/2-reverse.jpeg	
Liberty Seated	Half Dollar	1843	Philadelphia	Variety 1 - No Motto Above Eagle		thumbnails/UsOurCoin/1843|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1900	Philadelphia			thumbnails/UsOurCoin/1900|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1900	Philadelphia			thumbnails/UsOurCoin/1900|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1907	New Orleans			thumbnails/UsOurCoin/1907O|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1907	New Orleans			thumbnails/UsOurCoin/1907O|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1909	Philadelphia			thumbnails/UsOurCoin/1909|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1909	Philadelphia			thumbnails/UsOurCoin/1909|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	Philadelphia			thumbnails/UsOurCoin/1915|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||235.50||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||17.70||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||17.70||ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||45.24||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||45.24||ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Half Dollar	1915	San Francisco			thumbnails/UsOurCoin/1915S|Barber or Liberty Head||||Y|N|0|HALF DOLLAR||12.7975|Y|ebay|2012-07-28||/1-obverse.jpeg	
Liberty Walking	Half Dollar	1939	San Francisco			thumbnails/UsOurCoin/1939S|Liberty Walking|AU|53|PCGS|Y|N|0|HALF DOLLAR||51.00||ebay|2012-07-28||/1-obverse.jpeg	
Liberty Walking	Half Dollar	1939	San Francisco			thumbnails/UsOurCoin/1939S|Liberty Walking|AU|53|PCGS|Y|N|0|HALF DOLLAR||51.00||ebay|2012-07-28||/2-obverse.jpeg	
Liberty Walking	Half Dollar	1939	San Francisco			thumbnails/UsOurCoin/1939S|Liberty Walking|AU|53|PCGS|Y|N|0|HALF DOLLAR||51.00||ebay|2012-07-28||/3-obverse.jpeg	
Liberty Walking	Half Dollar	1939	San Francisco			thumbnails/UsOurCoin/1939S|Liberty Walking|AU|53|PCGS|Y|N|0|HALF DOLLAR||51.00||ebay|2012-07-28||/4-obverse.jpeg	
Liberty Walking	Half Dollar	1940	Philadelphia			thumbnails/UsOurCoin/1940|Liberty Walking||||Y|N|0|HALF DOLLAR||16.27||ebay|2012-07-28||/1-obverse.jpeg	
Liberty Walking	Half Dollar	1940	Philadelphia			thumbnails/UsOurCoin/1940|Liberty Walking||||Y|N|0|HALF DOLLAR||16.27||ebay|2012-07-28||/2-reverse.jpeg	
Liberty Walking	Half Dollar	1941	Denver			thumbnails/UsOurCoin/1941D|Liberty Walking||||Y|N|0|HALF DOLLAR||20.54||ebay|2012-07-28||/1-obverse.jpeg	
Liberty Walking	Half Dollar	1943	Philadelphia			thumbnails/UsOurCoin/1943|Liberty Walking||||Y|N|0|HALF DOLLAR||21.30||ebay|2012-07-28||/1-obverse.jpeg	
Liberty Walking	Half Dollar	1943	Philadelphia			thumbnails/UsOurCoin/1943|Liberty Walking||||Y|N|0|HALF DOLLAR||21.30||ebay|2012-07-28||/2-reverse.jpeg	
