coin	denomination	year	mint	yearGrouping	mintGrouping	metal	percentage
Liberty Head	Double Eagle	1864	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1864	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1864	San Francisco	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1864	San Francisco	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1865	Philadelphia	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1865	Philadelphia	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1865	San Francisco	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1865	San Francisco	Without Motto on Reverse		Copper	10.00000
Liberty Head	Double Eagle	1866	San Francisco	Without Motto on Reverse		Gold	90.00000
Liberty Head	Double Eagle	1866	San Francisco	Without Motto on Reverse		Copper	10.00000
Saint-Gaudens	Double Eagle	1907	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1907	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1908	Philadelphia	Arabic Numerals, No Motto	With Motto	Gold	90.00000
Saint-Gaudens	Double Eagle	1908	Philadelphia	Arabic Numerals, No Motto	With Motto	Copper	10.00000
Saint-Gaudens	Double Eagle	1908	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1908	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1908	Denver	Arabic Numerals, No Motto	With Motto	Gold	90.00000
Saint-Gaudens	Double Eagle	1908	Denver	Arabic Numerals, No Motto	With Motto	Copper	10.00000
Saint-Gaudens	Double Eagle	1908	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1908	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1908	San Francisco	Arabic Numerals, No Motto	With Motto	Gold	90.00000
Saint-Gaudens	Double Eagle	1908	San Francisco	Arabic Numerals, No Motto	With Motto	Copper	10.00000
Saint-Gaudens	Double Eagle	1909	Philadelphia	Arabic Numerals, No Motto	9 Over 8	Gold	90.00000
Saint-Gaudens	Double Eagle	1909	Philadelphia	Arabic Numerals, No Motto	9 Over 8	Copper	10.00000
Saint-Gaudens	Double Eagle	1909	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1909	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1909	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1909	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1909	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1909	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1910	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1910	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1910	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1910	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1910	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1910	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1911	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1911	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1911	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1911	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1911	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1911	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1912	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1912	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1913	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1913	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
