coin	denomination	year	mint	yearGrouping	mintGrouping	metal	percentage
Liberty Seated	Silver and Related Dollar	1872	Philadelphia	Variety 2 - With Motto IN GOD WE TRUST		Copper	10.00000
Liberty Seated	Silver and Related Dollar	1872	Philadelphia	Variety 2 - With Motto IN GOD WE TRUST		Silver	90.00000
Liberty Seated	Silver and Related Dollar	1872	Carson City	Variety 2 - With Motto IN GOD WE TRUST		Silver	90.00000
Liberty Seated	Silver and Related Dollar	1872	Carson City	Variety 2 - With Motto IN GOD WE TRUST		Copper	10.00000
Liberty Seated	Silver and Related Dollar	1872	San Francisco	Variety 2 - With Motto IN GOD WE TRUST		Silver	90.00000
Liberty Seated	Silver and Related Dollar	1872	San Francisco	Variety 2 - With Motto IN GOD WE TRUST		Copper	10.00000
Liberty Seated	Silver and Related Dollar	1873	Philadelphia	Variety 2 - With Motto IN GOD WE TRUST		Silver	90.00000
Liberty Seated	Silver and Related Dollar	1873	Philadelphia	Variety 2 - With Motto IN GOD WE TRUST		Copper	10.00000
Liberty Seated	Silver and Related Dollar	1873	Carson City	Variety 2 - With Motto IN GOD WE TRUST		Silver	90.00000
Liberty Seated	Silver and Related Dollar	1873	Carson City	Variety 2 - With Motto IN GOD WE TRUST		Copper	10.00000
Liberty Head	Gold Dollar	1849	Charlotte			Gold	90.00000
Liberty Head	Gold Dollar	1849	Charlotte			Copper	10.00000
Liberty Head	Gold Dollar	1849	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1849	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1849	New Orleans			Gold	90.00000
Liberty Head	Gold Dollar	1849	New Orleans			Copper	10.00000
Liberty Head	Gold Dollar	1850	Philadelphia			Gold	90.00000
Liberty Head	Gold Dollar	1850	Philadelphia			Copper	10.00000
Liberty Head	Gold Dollar	1850	Charlotte			Gold	90.00000
Liberty Head	Gold Dollar	1850	Charlotte			Copper	10.00000
Liberty Head	Gold Dollar	1850	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1850	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1850	New Orleans			Gold	90.00000
Liberty Head	Gold Dollar	1850	New Orleans			Copper	10.00000
Liberty Head	Gold Dollar	1851	Philadelphia			Gold	90.00000
Liberty Head	Gold Dollar	1851	Philadelphia			Copper	10.00000
Liberty Head	Gold Dollar	1851	Charlotte			Gold	90.00000
Liberty Head	Gold Dollar	1851	Charlotte			Copper	10.00000
Liberty Head	Gold Dollar	1851	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1851	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1851	New Orleans			Gold	90.00000
Liberty Head	Gold Dollar	1851	New Orleans			Copper	10.00000
Liberty Head	Gold Dollar	1852	Philadelphia			Gold	90.00000
Liberty Head	Gold Dollar	1852	Philadelphia			Copper	10.00000
Liberty Head	Gold Dollar	1852	Charlotte			Gold	90.00000
Liberty Head	Gold Dollar	1852	Charlotte			Copper	10.00000
Liberty Head	Gold Dollar	1852	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1852	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1852	New Orleans			Gold	90.00000
Liberty Head	Gold Dollar	1852	New Orleans			Copper	10.00000
Liberty Head	Gold Dollar	1853	Philadelphia			Gold	90.00000
Liberty Head	Gold Dollar	1853	Philadelphia			Copper	10.00000
Liberty Head	Gold Dollar	1853	Charlotte			Gold	90.00000
Liberty Head	Gold Dollar	1853	Charlotte			Copper	10.00000
Liberty Head	Gold Dollar	1853	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1853	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1853	New Orleans			Gold	90.00000
Liberty Head	Gold Dollar	1853	New Orleans			Copper	10.00000
Liberty Head	Gold Dollar	1854	Philadelphia			Gold	90.00000
Liberty Head	Gold Dollar	1854	Philadelphia			Copper	10.00000
Liberty Head	Gold Dollar	1854	Dahlonega			Gold	90.00000
Liberty Head	Gold Dollar	1854	Dahlonega			Copper	10.00000
Liberty Head	Gold Dollar	1854	San Francisco			Gold	90.00000
Liberty Head	Gold Dollar	1854	San Francisco			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1854	Philadelphia			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1854	Philadelphia			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Philadelphia			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Philadelphia			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Charlotte			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Charlotte			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Dahlonega			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1855	Dahlonega			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1855	New Orleans			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1855	New Orleans			Copper	10.00000
Indian Princess Head, Small Head	Gold Dollar	1856	San Francisco			Gold	90.00000
Indian Princess Head, Small Head	Gold Dollar	1856	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1856	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1856	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1856	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1856	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Charlotte			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Charlotte			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1857	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1857	San Francisco			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1857	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1858	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1858	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1858	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1858	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1858	San Francisco			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1858	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Charlotte			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Charlotte			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1859	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1859	San Francisco			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1859	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1860	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1860	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1860	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1860	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1860	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1860	San Francisco			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1861	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1861	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1861	Dahlonega			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1861	Dahlonega			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1862	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1862	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1863	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1863	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1864	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1864	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1865	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1865	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1866	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1866	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1867	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1867	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1868	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1868	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1869	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1869	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1870	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1870	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1870	San Francisco			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1870	San Francisco			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1871	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1871	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1872	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1872	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1873	Philadelphia		Close 3	Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1873	Philadelphia		Open 3	Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1873	Philadelphia		Open 3	Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1873	Philadelphia		Close 3	Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1874	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1874	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1875	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1875	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1876	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1876	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1877	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1877	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1878	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1878	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1879	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1879	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1880	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1880	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1881	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1881	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1882	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1882	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1883	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1883	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1884	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1884	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1885	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1885	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1886	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1886	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1887	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1887	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1888	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1888	Philadelphia			Copper	10.00000
Indian Princess Head, Large Head	Gold Dollar	1889	Philadelphia			Gold	90.00000
Indian Princess Head, Large Head	Gold Dollar	1889	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1873	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1873	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1873	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1873	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1873	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1873	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1874	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1874	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1874	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1874	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1874	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1874	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1875	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1875	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1875	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1875	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1875	San Francisco		S Over CC	Silver	90.00000
Trade Dollars	Silver and Related Dollar	1875	San Francisco		S Over CC	Copper	10.00000
Trade Dollars	Silver and Related Dollar	1875	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1875	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1876	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1876	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1876	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1876	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1876	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1876	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1877	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1877	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1877	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1877	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1877	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1877	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1878	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1878	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1878	Carson City			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1878	Carson City			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1878	San Francisco			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1878	San Francisco			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1879	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1879	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1880	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1880	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1881	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1881	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1882	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1882	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1883	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1883	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1884	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1884	Philadelphia			Copper	10.00000
Trade Dollars	Silver and Related Dollar	1885	Philadelphia			Silver	90.00000
Trade Dollars	Silver and Related Dollar	1885	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		7 Feathers	Silver	90.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		7 Feathers	Copper	10.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		7/8 Clear Double Feathers	Silver	90.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		7/8 Clear Double Feathers	Copper	10.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		8 Feathers	Silver	90.00000
Morgan	Silver and Related Dollar	1878	Philadelphia		8 Feathers	Copper	10.00000
Morgan	Silver and Related Dollar	1878	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1878	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1878	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1878	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1879	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1879	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1879	Carson City		CC over CC	Silver	90.00000
Morgan	Silver and Related Dollar	1879	Carson City		CC over CC	Copper	10.00000
Morgan	Silver and Related Dollar	1879	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1879	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1879	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1879	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1880	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1880	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1880	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1880	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1880	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1880	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1880	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1880	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1881	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1881	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1881	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1881	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1881	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1881	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1881	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1881	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1882	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1882	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1882	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1882	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1882	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1882	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1882	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1882	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1883	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1883	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1883	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1883	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1883	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1883	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1883	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1883	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1884	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1884	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1884	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1884	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1884	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1884	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1884	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1884	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1885	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1885	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1885	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1885	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1885	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1885	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1885	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1885	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1886	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1886	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1886	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1886	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1886	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1886	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1887	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1887	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1887	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1887	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1887	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1887	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1888	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1888	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1888	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1888	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1888	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1888	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1889	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1889	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1889	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1889	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1889	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1889	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1889	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1889	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1890	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1890	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1890	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1890	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1890	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1890	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1890	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1890	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1891	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1891	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1891	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1891	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1891	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1891	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1891	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1891	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1892	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1892	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1892	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1892	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1892	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1892	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1892	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1892	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1893	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1893	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1893	Carson City			Silver	90.00000
Morgan	Silver and Related Dollar	1893	Carson City			Copper	10.00000
Morgan	Silver and Related Dollar	1893	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1893	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1893	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1893	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1894	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1894	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1894	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1894	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1894	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1894	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1895	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1895	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1895	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1895	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1895	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1895	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1896	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1896	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1896	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1896	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1896	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1896	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1897	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1897	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1897	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1897	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1897	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1897	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1898	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1898	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1898	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1898	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1898	San Francisco			Silver	90.00000
Morgan	Silver and Related Dollar	1898	San Francisco			Copper	10.00000
Morgan	Silver and Related Dollar	1899	Philadelphia			Silver	90.00000
Morgan	Silver and Related Dollar	1899	Philadelphia			Copper	10.00000
Morgan	Silver and Related Dollar	1899	New Orleans			Silver	90.00000
Morgan	Silver and Related Dollar	1899	New Orleans			Copper	10.00000
Morgan	Silver and Related Dollar	1899	San Francisco			Silver	90.00000
