name	name	year	additionalInfo	name	symbol	additionalInfo	title	value
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		AU-55	1700.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		MS-60	6500.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	Philadelphia	P		MS-63	30000.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		AU-55	1675.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		MS-60	5500.00
Liberty Head	Double Eagle	1855	Without Motto on Reverse	San Francisco	S		MS-63	11000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	New Orleans	O		VF-20	75000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	New Orleans	O		EF-40	125000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	New Orleans	O		AU-50	225000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	New Orleans	O		AU-55	300000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	New Orleans	O		MS-60	425000.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		MS-60	5750.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	Philadelphia	P		MS-63	18500.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		MS-60	4250.00
Liberty Head	Double Eagle	1856	Without Motto on Reverse	San Francisco	S		MS-63	11000.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		VF-20	1850.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		EF-40	2250.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		AU-50	4750.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		AU-55	6500.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		MS-60	25000.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	New Orleans	O		MS-63	67500.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		MS-60	2650.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	Philadelphia	P		MS-63	15000.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		MS-60	2750.00
Liberty Head	Double Eagle	1857	Without Motto on Reverse	San Francisco	S		MS-63	6000.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	New Orleans	O		VF-20	1850.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	New Orleans	O		EF-40	2750.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	New Orleans	O		AU-50	4750.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	New Orleans	O		AU-55	6750.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	New Orleans	O		MS-60	27500.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		AU-50	1650.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		AU-55	2200.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		MS-60	3250.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	Philadelphia	P		MS-63	22500.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1858	Without Motto on Reverse	San Francisco	S		MS-60	6500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	New Orleans	O		VF-20	3750.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	New Orleans	O		EF-40	13500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	New Orleans	O		AU-50	22500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	New Orleans	O		AU-55	27500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	New Orleans	O		MS-60	77500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		VF-20	1650.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		EF-40	2000.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		AU-50	3250.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		AU-55	5500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		MS-60	22500.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	Philadelphia	P		PF-63	85000.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		MS-60	3750.00
Liberty Head	Double Eagle	1859	Without Motto on Reverse	San Francisco	S		MS-63	25000.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	New Orleans	O		VF-20	3750.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	New Orleans	O		EF-40	11000.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	New Orleans	O		AU-50	21000.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	New Orleans	O		AU-55	26500.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	New Orleans	O		MS-60	75000.00
