Liberty Head|Double Eagle|1873|Motto Above Eagle - Value TWENTY D|Philadelphia|P||1709800|25|1|0
Liberty Head|Double Eagle|1873|Motto Above Eagle - Value TWENTY D|Carson City|CC||22410|0|1|0
Liberty Head|Double Eagle|1873|Motto Above Eagle - Value TWENTY D|San Francisco|S||1040600|0|1|0
Liberty Head|Double Eagle|1874|Motto Above Eagle - Value TWENTY D|Philadelphia|P||366780|20|1|0
Liberty Head|Double Eagle|1874|Motto Above Eagle - Value TWENTY D|Carson City|CC||115085|0|1|0
Liberty Head|Double Eagle|1874|Motto Above Eagle - Value TWENTY D|San Francisco|S||1214000|0|1|0
Liberty Head|Double Eagle|1875|Motto Above Eagle - Value TWENTY D|Philadelphia|P||295720|20|1|0
Liberty Head|Double Eagle|1875|Motto Above Eagle - Value TWENTY D|Carson City|CC||111151|0|1|0
Liberty Head|Double Eagle|1875|Motto Above Eagle - Value TWENTY D|San Francisco|S||1230000|0|1|0
Liberty Head|Double Eagle|1876|Motto Above Eagle - Value TWENTY D|San Francisco|S||1597000|0|1|0
Liberty Head|Double Eagle|1876|Motto Above Eagle - Value TWENTY D|Philadelphia|P||583860|45|1|0
Liberty Head|Double Eagle|1876|Motto Above Eagle - Value TWENTY D|Carson City|CC||138441|0|1|0
Liberty Head|Double Eagle|1877|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||397650|20|1|0
Liberty Head|Double Eagle|1877|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||42565|0|1|0
Liberty Head|Double Eagle|1877|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1735000|0|1|0
Liberty Head|Double Eagle|1878|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||543625|20|1|0
Liberty Head|Double Eagle|1878|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||13180|0|1|0
Liberty Head|Double Eagle|1878|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1739000|0|1|0
Liberty Head|Double Eagle|1879|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||10708|0|1|0
Liberty Head|Double Eagle|1879|Motto Above Eagle - Value TWENTY DOLLARS|New Orleans|O||2325|0|1|0
Liberty Head|Double Eagle|1879|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1223800|0|1|0
Liberty Head|Double Eagle|1879|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||207600|30|1|0
Liberty Head|Double Eagle|1880|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||51420|36|1|0
Liberty Head|Double Eagle|1880|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||836000|0|1|0
Liberty Head|Double Eagle|1881|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||2199|61|1|0
Liberty Head|Double Eagle|1881|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||727000|0|1|0
Liberty Head|Double Eagle|1882|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||39140|0|1|0
Liberty Head|Double Eagle|1882|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1125000|0|1|0
Liberty Head|Double Eagle|1882|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||571|59|1|0
